Brand,Model,Year,Mileage,Condition,Price,Number of Cylinders,Engine Capacity,Ratings,Color
Toyota,Sienna,2011,112809,Foreign Used, 9330000,4,2000.0, 4.40,gold
Toyota,Corolla,2007,168736,Foreign Used, 3630000,4,2500.0, 4.30,gold
Toyota,Corolla,2006,83930,Foreign Used, 3630000,4,2500.0, 4.00,gold
Toyota,Corolla,2012,98054,Foreign Used, 6130000,4,1500.0, 4.50,Grey
Toyota,Sienna,2006,96800,Foreign Used, 5780000,6,2000.0, 4.50,Silver
Toyota,Camry,2007,86998,Foreign Used, 5330000,6,1500.0, 4.50,Silver
Toyota,Corolla,2008,180289,Foreign Used, 3630000,4,2500.0, 4.00,Red
Toyota,Corolla,2013,95440,Foreign Used, 6095000,4,1500.0, 4.00,Blue
Toyota,Highlander,2013,95348,Foreign Used, 10830000,6,2500.0, 4.50,Blue
Hyundai,Sonata,2015,96345,Foreign Used, 8330000,4,2500.0, 4.00,Grey
Toyota,Matrix,2007,169259,Locally Used, 3645000,4,2500.0, 4.00,Silver
Toyota,Highlander,2015,70675,Foreign Used, 16015000,6,3500.0, 4.40,Blue
Lexus,RX 350,2014,100000,Foreign Used, 15015000,6,3500.0, 4.40,black
Toyota,Hiace,2006,112336,Foreign Used, 9060000,4,2000.0, 4.00,black
Toyota,Hiace,2012,45856,Foreign Used, 11545000,4,2400.0, 4.00,purple
Toyota,Corolla,2014,93200,Foreign Used, 7215000,4,1000.0, 4.40,black
Honda,CR-V,2009,121855,Foreign Used, 4845000,4,2000.0, 4.00,Blue
Toyota,Corolla,2005,190543,Foreign Used, 3630000,4,2500.0, 4.00,Silver
Hyundai,Elantra,2016,74000,Foreign Used, 6230000,5,, 4.00,gold
Toyota,Corolla,2008,223323,Foreign Used, 3630000,4,2500.0, 4.00,Grey
Toyota,Matrix,2006,101711,Foreign Used, 3630000,4,2500.0, 4.00,Grey
Toyota,Corolla,2007,205262,Foreign Used, 3630000,4,2500.0, 4.00,Blue
Toyota,Sequoia,2010,263789,Foreign Used, 12030000,6,1000.0, 4.10,Grey
Lexus,ES 350,2013,130832,Foreign Used, 11030000,6,1000.0, 4.30,Blue
Lexus,GX 460,2013,81911,Foreign Used, 27015000,8,1000.0, 4.40,black
Lexus,RX 350,2010,130864,Foreign Used, 11015000,6,1000.0, 4.40,White
Toyota,4-Runner,2016,134112,Foreign Used, 20530000,6,1000.0, 4.20,White
Honda,Civic,2012,75163,Foreign Used, 6045000,4,1000.0, 4.00,Silver
Toyota,Corolla,2007,101305,Foreign Used, 3630000,4,2500.0, 4.00,Blue
Toyota,Corolla,2008,96793,Foreign Used, 3630000,4,2500.0, 4.00,Blue
Toyota,RAV 4,2016,84983,Foreign Used, 20015000,4,2200.0, 4.40,black
Mercedes-Benz,GLK 350,2010,86000,Foreign Used, 9330000,6,2500.0, 4.50,gold
Toyota,Corolla,2008,99580,Foreign Used, 4130000,4,1000.0, 4.50,Silver
Acura,MDX,2015,123483,Foreign Used, 13530000,6,1000.0, 4.10,Grey
Ford,Edge,2010,69580,Foreign Used, 5280000,4,1500.0, 4.50,White
Toyota,Venza,2015,87000,Foreign Used, 11815000,6,2000.0, 4.50,White
Toyota,Venza,2009,84467,Foreign Used, 9215000,6,6000.0, 4.30,Blue
Toyota,Avalon,2011,151864,Foreign Used, 8545000,6,6000.0, 4.40,black and orange
Toyota,Sienna,2012,90141,Foreign Used, 11030000,6,6000.0, 4.40,Silver
Toyota,Camry,2012,175688,Locally Used, 4830000,6,3500.0, 4.00,Silver
Honda,Accord,2017,52092,Foreign Used, 11030000,4,1500.0, 4.40,black
Toyota,Highlander,2013,45237,Foreign Used, 12630000,6,1500.0, 4.40,Grey
Toyota,Hiace,2011,148526,Foreign Used, 11015000,4,2400.0, 4.10,White
Toyota,Corolla,2008,242384,Foreign Used, 3630000,4,2500.0, 4.00,White
Toyota,Corolla,2006,179604,Foreign Used, 3630000,4,2500.0, 4.00,gold
Toyota,Corolla,2005,193140,Foreign Used, 3630000,4,2500.0, 4.00,gold
Toyota,Corolla,2011,104763,Foreign Used, 4845000,4,, 4.00,Silver
Toyota,Corolla,2014,52346,Foreign Used, 7431000,4,, 4.00,Grey
Acura,RDX,2017,97274,Foreign Used, 15515000,6,, 4.20,White
Toyota,4-Runner,2015,61438,Foreign Used, 22530000,6,1000.0, 4.40,Grey
Toyota,Venza,2009,96000,Foreign Used, 8765000,6,2000.0, 4.50,Red
Toyota,Camry,2018,38815,Foreign Used, 17815000,4,2400.0, 4.30,black
Toyota,Camry,2018,58139,Foreign Used, 15515000,4,, 4.00,Silver
Lexus,RX 350,2007,31083,Foreign Used, 6615000,6,, 4.40,gold
Lexus,RX 330,2005,65000,Foreign Used, 6215000,6,, 4.40,Silver
Toyota,RAV 4,2008,146495,Foreign Used, 5730000,4,2400.0, 4.00,gold
Toyota,Corolla,2013,135437,Foreign Used, 5515000,4,1800.0, 4.00,Blue
Lexus,ES 350,2013,100000,Foreign Used, 11015000,6,3500.0, 4.40,black
Toyota,Sienna,2008,14775,Foreign Used, 5489000,6,, 4.50,black
Mercedes-Benz,C 300,2010,85945,Foreign Used, 6830000,6,3000.0, 4.50,black
Toyota,Highlander,2014,125889,Foreign Used, 16030000,6,4000.0, 4.30,black
Mitsubishi,Pajero,2017,13925,Locally Used, 18045000,6,4000.0, 4.50,black
Toyota,Venza,2010,145991,Foreign Used, 9830000,4,3000.0, 4.50,cream
Ford,E 350,2011,123580,Foreign Used, 7215000,6,3000.0, 4.20,Red
Honda,Accord,2013,4354,Foreign Used, 5815000,4,4000.0, 4.30,wine
Toyota,Sienna,2004,210886,Foreign Used, 4830000,6,6000.0, 4.30,gold
Lexus,RX 350,2016,94598,Foreign Used, 24515000,6,1000.0, 4.30,black
Toyota,RAV 4,2005,100000,Foreign Used, 5515000,4,2200.0, 4.40,White
Toyota,Venza,2015,65000,Foreign Used, 12515000,6,3800.0, 4.40,White
Toyota,Venza,2010,86529,Foreign Used, 10030000,4,1000.0, 4.30,White
Toyota,Highlander,2011,198217,Foreign Used, 11530000,6,1000.0, 4.10,White
Mercedes-Benz,GLK 350,2011,146814,Foreign Used, 10530000,6,1000.0, 4.30,Silver
Toyota,RAV 4,2011,108951,Foreign Used, 7515000,4,2500.0, 4.20,Silver
Toyota,Corolla,2015,79512,Foreign Used, 7415000,4,2800.0, 4.00,Grey
Toyota,Corolla,2014,82570,Foreign Used, 7315000,4,2500.0, 4.00,Grey
Toyota,Corolla,2017,137832,Foreign Used, 8715000,4,2500.0, 4.00,black
Lexus,ES 350,2007,199000,Foreign Used, 5815000,6,, 4.40,White
Hyundai,Sonata,2013,147253,Foreign Used, 4930000,5,, 4.30,Blue
Mercedes-Benz,GLK 350,2014,114733,Foreign Used, 13030000,6,1000.0, 4.40,cream
Toyota,Camry,2005,45320,Foreign Used, 3545000,4,1000.0, 4.00,gold
Mazda,CX-9,2014,97224,Foreign Used, 8015000,6,3300.0, 4.40,Grey
Hyundai,Sonata,2011,22000,Foreign Used, 5115000,4,2000.0, 4.00,black
Mazda,CX-9,2013,97224,Foreign Used, 8015000,6,3300.0, 4.40,Silver
Toyota,Venza,2015,31010,Foreign Used, 10815000,4,1000.0, 4.40,black
Land Rover,Range Rover,2011,123648,Foreign Used, 14015000,8,1000.0, 4.40,Blue
Toyota,Avalon,2019,72924,Foreign Used, 31015000,6,1000.0, 4.20,black
Lexus,ES 350,2009,113200,Foreign Used, 6045000,6,1000.0, 4.40,Silver
Land Rover,Range Rover,2018,18181,Locally Used, 65605000,8,5000.0, 3.50,black
Toyota,RAV 4,2013,32613,Foreign Used, 12515000,4,2500.0, 4.20,Green
Toyota,Highlander,2012,139407,Foreign Used, 8915000,6,3300.0, 4.40,Silver
Toyota,Corolla,2005,73523,Foreign Used, 3915000,4,1800.0, 4.00,Silver
Toyota,Camry,2014,81048,Foreign Used, 6515000,4,1000.0, 4.40,gold
Lexus,GX 460,2012,89000,Locally Used, 13965000,8,1000.0, 4.40,black
