,Brand,Model,Year,Mileage,Condition,Price,Engine Type,Engine Capacity,Exterior Color,Ratings
507,IVM,IVM 6857,2021,0,New,"₦ 74,297,496",4-Cylinder(I4),Approx. N/A,White,
508,IVM,IVM 6800,2021,0,New,"₦ 48,497,500",4-Cylinder(I4),Approx. N/A,White,
509,IVM,IVM 6601,2021,0,New,"₦ 38,177,500",4-Cylinder(I4),Approx. N/A,White,
510,IVM,IVM 6499,2021,0,New,"₦ 17,053,750",4-Cylinder(I4),Approx. N/A,White,
511,IVM,IVM 6540,2021,0,New,"₦ 21,297,312",4-Cylinder(I4),Approx. N/A,White,
512,IVM,IVM G5,2021,0,New,"₦ 14,000,212",4-Cylinder(I4),Approx. N/A,White,
513,IVM,IVM G40,2021,0,New,"₦ 29,900,000",4-Cylinder(I4),Approx. N/A,Black,
514,IVM,IVM G80,2021,0,New,"₦ 49,142,500",4-Cylinder(I4),Approx. N/A,Black,
515,Nissan,Nissan Sentra,2014,"57,949",Foreign Used,"₦ 6,830,000",4-Cylinder(I4),Approx. N/A,Black, (4.20)
516,IVM,IVM Granite,2020,0,New,"₦ 23,127,500",4-Cylinder(I4),Approx. N/A,Blue,
517,IVM,IVM G6C,2020,0,New,"₦ 20,977,500",4-Cylinder(I4),Approx. N/A,White,
518,Toyota,Toyota Hilux,2022,675,New,"₦ 33,445,000",4-Cylinder(I4),Approx. 2,White,
519,IVM,IVM G20 Smart,2020,0,New,"₦ 8,077,500",4-Cylinder(I4),Approx. N/A,Red,
520,IVM,IVM Capa,2020,0,New,"₦ 26,352,500",4-Cylinder(I4),Approx. N/A,Black,
521,IVM,IVM G6,2020,0,New,"₦ 25,492,500",4-Cylinder(I4),Approx. N/A,Black,
522,IVM,IVM Ikenga,2020,0,New,"₦ 13,775,000",4-Cylinder(I4),Approx. N/A,Black,
523,IVM,IVM Caris,2020,0,New,"₦ 13,775,000",4-Cylinder(I4),Approx. N/A,Red,
524,DONGFENG,DONGFENG P 16,2021,0,New,"₦ 18,015,000",4-Cylinder(I4),Approx. N/A,White,
525,DONGFENG,DONGFENG K01S,2020,0,New,"₦ 7,215,000",4-Cylinder(I4),Approx. N/A,White,
526,DONGFENG,DONGFENG T5L,2020,0,New,"₦ 15,585,000",4-Cylinder(I4),Approx. N/A,Red,
527,DONGFENG,DONGFENG SX5,2020,0,New,"₦ 11,715,000",4-Cylinder(I4),Approx. N/A,White,
528,DONGFENG,DONGFENG A9,2020,0,New,"₦ 16,845,000",4-Cylinder(I4),Approx. N/A,White,
529,DONGFENG,DONGFENG S50,2020,0,New,"₦ 10,635,000",4-Cylinder(I4),Approx. N/A,White,
530,Kia,Kia K2700,2021,0,New,"₦ 15,315,000",4-Cylinder(I4),Approx. N/A,White,
531,Kia,Kia Sorento 3.5l EX,2021,0,New,"₦ 26,115,000",6-Cylinder(V6),Approx. N/A,Black,
532,Kia,Kia Sorento 3.5l EX,2021,0,New,"₦ 23,415,000",6-Cylinder(V6),Approx. N/A,Black,
533,Kia,Kia Sorento EX,2021,0,New,"₦ 21,615,000",4-Cylinder(I4),Approx. N/A,Black,
534,Kia,Kia Sportage,2021,0,New,"₦ 17,835,000",4-Cylinder(I4),Approx. N/A,Red,
535,Kia,Kia Seltos,2021,0,New,"₦ 13,335,000",4-Cylinder(I4),Approx. N/A,Red,
536,Kia,Kia Sonet,2021,0,New,"₦ 11,715,000",4-Cylinder(I4),Approx. N/A,Red,
537,Kia,Kia Quoris K900 Top,2021,0,New,"₦ 63,015,000",4-Cylinder(I4),Approx. N/A,Black,
538,Kia,Kia Quoris K900 GLS,2021,0,New,"₦ 46,815,000",4-Cylinder(I4),Approx. N/A,White,
539,Kia,Kia Cadenza,2021,0,New,"₦ 36,015,000",2-Cylinder(I2),Approx. N/A,White,
540,Kia,Kia Optima,2021,0,New,"₦ 16,215,000",2-Cylinder(I2),Approx. N/A,White,
541,Kia,Kia Cerato,2021,0,New,"₦ 15,027,000",2-Cylinder(I2),Approx. N/A,White,
542,Kia,Kia Rio,2021,0,New,"₦ 10,095,000",2-Cylinder(I2),Approx. N/A,White,
543,Ford,Ford F-150 King Ranch,2008,"22,083",Foreign Used,"₦ 6,015,000",6-Cylinder(V6),Approx. N/A,Grey, (4.40)
544,Toyota,Toyota Highlander,2011,"95,983",Foreign Used,"₦ 11,865,000",6-Cylinder(V6),Approx. 3,Grey, (4.00)
545,Mitsubishi,Mitsubishi L200 Double Cabin,2022,0,New,"₦ 17,515,000",4-Cylinder(I4),Approx. N/A,White,
546,Mitsubishi,Mitsubishi L200 Double Cabin 4WD,2022,0,New,"₦ 16,765,000",4-Cylinder(I4),Approx. N/A,White,
547,Mitsubishi,Mitsubishi L200 Single Cabin,2022,0,New,"₦ 12,015,000",4-Cylinder(I4),Approx. N/A,Grey,
548,Mitsubishi,Mitsubishi Pajero Sport,2022,0,New,"₦ 33,000,000",6-Cylinder(V6),Approx. N/A,Silver,
549,Mitsubishi,Mitsubishi Pajero,2022,0,New,"₦ 27,015,000",4-Cylinder(I4),Approx. N/A,Silver,
550,Mitsubishi,Mitsubishi Eclipse Cross 4x2,2022,0,New,"₦ 19,515,000",4-Cylinder(I4),Approx. N/A,Grey,
551,Suzuki,Suzuki Vitara GLX 4x2,2022,0,New,"₦ 16,500,000",4-Cylinder(I4),Approx. 1000,Yellow,
552,Suzuki,Suzuki Vitara,2022,0,New,"₦ 14,015,000",4-Cylinder(I4),Approx. 1000,Blue,
553,Suzuki,Suzuki Super-Carry,2022,0,New,"₦ 6,515,000",4-Cylinder(I4),Approx. 1000,White,
554,Suzuki,Suzuki Jimny GL,2022,0,New,"₦ 15,015,000",4-Cylinder(I4),Approx. 1000,Dark Blue,
555,Suzuki,Suzuki Vitara GL,2022,0,New,"₦ 14,015,000",4-Cylinder(I4),Approx. 1000,Red,
556,Suzuki,Suzuki Ertiga GLX,2022,0,New,"₦ 11,515,000",4-Cylinder(I4),Approx. 1000,Brown,
557,Suzuki,Suzuki Ciaz GLX,2022,0,New,"₦ 15,000,000",4-Cylinder(I4),Approx. 1000,Black,
558,Suzuki,Suzuki Baleno GLX,2022,0,New,"₦ 9,915,000",4-Cylinder(I4),Approx. 1000,White,
559,Suzuki,Suzuki New Dzire GLX,2022,0,New,"₦ 8,915,000",4-Cylinder(I4),Approx. 1000,White,
560,Suzuki,Suzuki New Dzire GL,2022,0,New,"₦ 9,200,000",4-Cylinder(I4),Approx. 1000,Dark Blue,
561,Suzuki,Suzuki S-presso GL,2022,0,New,"₦ 6,315,000",4-Cylinder(I4),Approx. 1000,White,
562,Suzuki,Suzuki Alto GLX,2022,0,New,"₦ 5,215,000",4-Cylinder(I4),Approx. 1000,Red,
