brand,model,mileage,condition,year,color,engine_size,cylinder,price
Lexus,RX 350,103089,Foreign Used,2015,Gray,3500,NULL,"₦ 14,700,000"
Toyota,Corolla,185043,Nigerian Used,2008,Black,1800,NULL,"₦ 3,640,000"
Ford,Escape,165413,Foreign Used,2014,Red,2000,NULL,"₦ 5,250,000"
Toyota,Tacoma,151456,Foreign Used,2007,White,3500,NULL,"₦ 7,665,000"
Toyota,RAV4,135678,Foreign Used,2015,White,2500,NULL,"₦ 13,520,000"
Acura,MDX,58805,Nigerian Used,2010,Ivory,3700,NULL,"₦ 5,200,000"
Toyota,Sienna,237181,Nigerian Used,2004,Gray,3300,NULL,"₦ 4,680,000"
Toyota,Avalon,107251,Nigerian Used,2011,Black,3500,6,"₦ 4,210,000"
Lexus,GX,232164,Nigerian Used,2003,Red,4700,8,"₦ 3,675,000"
Land Rover,Range Rover,223592,Foreign Used,2011,Black,5000,NULL,"₦ 13,125,000"
Toyota,Matrix,510727,Nigerian Used,2010,White,1800,NULL,"₦ 3,952,000"
Toyota,Corolla,107719,Foreign Used,2007,Black,1800,NULL,"₦ 4,010,000"
Lexus,ES,231559,Nigerian Used,2009,Black,3500,6,"₦ 3,675,000"
Toyota,Corolla,57490,Nigerian Used,2010,Red,1800,4,"₦ 3,848,000"
Toyota,RAV4,55764,Nigerian Used,2015,Gray,2500,NULL,"₦ 7,245,000"
Toyota,Estima,112422,Nigerian Used,2008,White,2400,NULL,"₦ 3,150,000"
Lexus,ES,173942,Nigerian Used,2007,Gray,3500,NULL,"₦ 4,680,000"
Toyota,Venza,203555,Foreign Used,2013,Silver,2700,NULL,"₦ 8,295,000"
Toyota,Sienna,122235,Nigerian Used,2008,White,3500,NULL,"₦ 3,848,000"
Toyota,Corolla,242119,Nigerian Used,2009,Black,1800,4,"₦ 3,640,000"
Land Rover,Lr3,126109,Nigerian Used,2005,White,4400,NULL,"₦ 3,150,000"
Toyota,Camry,108763,Nigerian Used,2011,Red,2500,NULL,"₦ 3,360,000"
Toyota,Corolla,212309,Nigerian Used,2009,Red,1800,NULL,"₦ 3,536,000"
Lexus,RX 330,299781,Foreign Used,2006,Silver,3300,NULL,"₦ 6,300,000"
Land Rover,Range Rover,79439,Nigerian Used,2008,Black,4200,NULL,"₦ 5,200,000"
Lexus,ES,262201,Nigerian Used,2007,Silver,3500,6,"₦ 3,465,000"
Mercedes-Benz,GLK-Class,74282,Nigerian Used,2010,Blue,3500,NULL,"₦ 5,040,000"
Toyota,Camry,33945,Nigerian Used,2018,Gray,2500,NULL,"₦ 13,520,000"
Mercedes-Benz,C300,196439,Nigerian Used,2009,Black,3000,6,"₦ 3,570,000"
Toyota,Avalon,146297,Nigerian Used,2007,Blue,3500,NULL,"₦ 3,120,000"
Lexus,RX 350,94104,Foreign Used,2011,Gray,3500,NULL,"₦ 10,395,000"
Pontiac,Vibe,232277,Foreign Used,2009,Silver,2400,NULL,"₦ 3,885,000"
Toyota,Sienna,291136,Nigerian Used,2005,Gray,3300,6,"₦ 4,992,000"
Toyota,Camry,164519,Foreign Used,2014,Silver,2500,4,"₦ 6,300,000"
Acura,MDX,279586,Nigerian Used,2008,Silver,3700,NULL,"₦ 3,150,000"
Toyota,Land Cruiser Prado,149674,Nigerian Used,2014,Black,2700,4,"₦ 16,800,000"
Lexus,ES,245290,Nigerian Used,2007,Black,3500,NULL,"₦ 4,680,000"
Toyota,Venza,160737,Nigerian Used,2013,Black,3500,NULL,"₦ 10,400,000"
Ford,Ranger,281548,Nigerian Used,2011,White,2200,NULL,"₦ 3,990,000"
Toyota,Sienna,305026,Nigerian Used,2005,Gray,3300,6,"₦ 5,720,000"
Mitsubishi,L200,117523,Nigerian Used,2011,Brown,2400,NULL,"₦ 5,775,000"
Toyota,Camry,174367,Nigerian Used,2009,Red,2400,NULL,"₦ 3,640,000"
Lexus,RX 350,111944,Foreign Used,2010,Gray,3500,NULL,"₦ 10,500,000"
Lexus,RC,85714,Foreign Used,2016,White,3500,6,"₦ 9,975,000"
Lexus,ES,160232,Nigerian Used,2007,Black,3500,6,"₦ 3,265,000"
Toyota,Sienna,322230,Foreign Used,2008,White,3500,NULL,"₦ 4,515,000"
Toyota,Camry,107722,Nigerian Used,2012,Gray,2500,NULL,"₦ 4,520,000"
Mercedes-Benz,C350,434317,Nigerian Used,2008,Black,3500,NULL,"₦ 5,200,000"
Toyota,Camry,351531,Nigerian Used,2009,Black,2400,4,"₦ 3,120,000"
Ford,Edge,81173,Nigerian Used,2014,Black,2000,NULL,"₦ 3,190,000"
Lexus,ES,116827,Nigerian Used,2008,Gold,3500,NULL,"₦ 3,675,000"
Lexus,IS,157465,Nigerian Used,2008,Black,2500,NULL,"₦ 3,150,000"
Lexus,IS,157300,Nigerian Used,2008,Red,2500,NULL,"₦ 3,640,000"
Lexus,ES,178631,Nigerian Used,2007,Gray,3500,NULL,"₦ 4,160,000"
Toyota,Sienna,121563,Nigerian Used,2005,White,3500,NULL,"₦ 3,120,000"
Lexus,IS,106868,Nigerian Used,2009,Silver,3500,NULL,"₦ 3,675,000"
Toyota,Highlander,199202,Nigerian Used,2005,Blue,3300,NULL,"₦ 3,760,000"
Toyota,Camry,125815,Nigerian Used,2006,Gold,2400,NULL,"₦ 3,328,000"
Nissan,Pathfinder,367402,Nigerian Used,2006,Black,3200,NULL,"₦ 3,120,000"
Toyota,Corolla,134083,Nigerian Used,2012,Gray,1800,NULL,"₦ 3,952,000"
Nissan,Pathfinder,275968,Foreign Used,2005,Gray,4000,NULL,"₦ 3,150,000"
Toyota,RAV4,117784,Nigerian Used,2007,White,3500,NULL,"₦ 3,640,000"
Hyundai,Elantra,88492,Nigerian Used,2012,White,1800,NULL,"₦ 5,780,000"
Ford,Explorer,381543,Nigerian Used,2008,Black,4000,6,"₦ 3,150,000"
Toyota,Highlander,98358,Foreign Used,2012,Black,3500,6,"₦ 13,520,000"
Pontiac,Vibe,226374,Foreign Used,2004,White,1800,NULL,"₦ 3,150,000"
Toyota,Camry,126677,Foreign Used,2013,Gray,2500,4,"₦ 6,090,000"
Lexus,GS,179777,Nigerian Used,2007,Silver,3500,NULL,"₦ 4,160,000"
Toyota,Camry,92564,Nigerian Used,2012,Black,2500,NULL,"₦ 4,992,000"
Toyota,Highlander,164682,Nigerian Used,2008,Silver,3500,NULL,"₦ 4,725,000"
Kia,Sportage,90020,Nigerian Used,2013,Red,2000,NULL,"₦ 8,840,000"
Ford,Edge,81173,Nigerian Used,2014,Black,2000,NULL,"₦ 3,190,000"
Land Rover,Range Rover Evoque,54000,Nigerian Used,2012,Red,2800,NULL,"₦ 7,087,500"
Mercedes-Benz,C300,256173,Foreign Used,2010,Black,3500,6,"₦ 6,760,000"
Toyota,4-Runner,132556,Foreign Used,2017,Black,4700,NULL,"₦ 24,960,000"
Toyota,Sienna,121563,Nigerian Used,2005,White,3500,NULL,"₦ 3,120,000"
Lexus,IS,106868,Nigerian Used,2009,Silver,3500,NULL,"₦ 3,675,000"
Toyota,Highlander,318108,Foreign Used,2007,Blue,3300,NULL,"₦ 4,830,000"
Chevrolet,Equinox,139572,Foreign Used,2005,Black,3400,NULL,"₦ 3,675,000"
Pontiac,Vibe,226374,Foreign Used,2004,White,1800,NULL,"₦ 3,150,000"
Mercedes-Benz,GL-Class,71626,Nigerian Used,2010,Silver,4700,NULL,"₦ 4,725,000"
Toyota,Camry,187564,Nigerian Used,2009,Gray,2500,NULL,"₦ 3,536,000"
Lexus,GX,104330,Nigerian Used,2011,Silver,4600,8,"₦ 18,720,000"
Toyota,Camry,179925,Nigerian Used,2013,Black,2500,NULL,"₦ 4,108,000"
Lexus,ES,160232,Nigerian Used,2007,Black,3500,6,"₦ 3,265,000"
Nissan,Sentra,252529,Foreign Used,2010,Black,2000,NULL,"₦ 3,150,000"
Toyota,Matrix,68888,Nigerian Used,2008,Silver,1800,4,"₦ 3,640,000"
